4.40,136455,0439023483,good_reads:book,https://www.goodreads.com/author/show/153394.Suzanne_Collins,2008,/genres/young-adult|/genres/science-fiction|/genres/dystopia|/genres/fantasy|/genres/science-fiction|/genres/romance|/genres/adventure|/genres/book-club|/genres/young-adult|/genres/teen|/genres/apocalyptic|/genres/post-apocalyptic|/genres/action,dir01/2767052-the-hunger-games.html,2958974,"The Hunger Games (The Hunger Games, #1)"
4.41,16648,0439358078,good_reads:book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,2003,/genres/fantasy|/genres/young-adult|/genres/fiction|/genres/fantasy|/genres/magic|/genres/childrens|/genres/adventure|/genres/science-fiction-fantasy,dir01/2.Harry_Potter_and_the_Order_of_the_Phoenix.html,1284478,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
3.56,85746,0316015849,good_reads:book,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,2005,/genres/young-adult|/genres/fantasy|/genres/romance|/genres/paranormal|/genres/vampires|/genres/fiction|/genres/fantasy|/genres/paranormal|/genres/romance|/genres/paranormal-romance|/genres/fantasy|/genres/supernatural|/genres/young-adult|/genres/teen|/genres/fantasy|/genres/urban-fantasy,dir01/41865.Twilight.html,2579564,"Twilight (Twilight, #1)"
4.23,47906,0061120081,good_reads:book,https://www.goodreads.com/author/show/1825.Harper_Lee,1960,/genres/classics|/genres/fiction|/genres/historical-fiction|/genres/academic|/genres/school|/genres/literature|/genres/young-adult|/genres/academic|/genres/read-for-school|/genres/novels|/genres/book-club|/genres/young-adult|/genres/high-school,dir01/2657.To_Kill_a_Mockingbird.html,2078123,To Kill a Mockingbird
4.23,34772,0679783261,good_reads:book,https://www.goodreads.com/author/show/1265.Jane_Austen,1813,/genres/classics|/genres/fiction|/genres/romance|/genres/historical-fiction|/genres/literature|/genres/novels|/genres/european-literature|/genres/british-literature|/genres/classics|/genres/classic-literature|/genres/adult|/genres/academic|/genres/school,dir01/1885.Pride_and_Prejudice.html,1388992,Pride and Prejudice
4.25,12363,0446675539,good_reads:book,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,1936,/genres/classics|/genres/historical-fiction|/genres/fiction|/genres/romance|/genres/literature|/genres/romance|/genres/historical-romance|/genres/war|/genres/military-history|/genres/civil-war,dir01/18405.Gone_with_the_Wind.html,645470,Gone with the Wind
4.22,7205,0066238501,good_reads:book,https://www.goodreads.com/author/show/1069006.C_S_Lewis,1949,/genres/classics|/genres/young-adult|/genres/childrens|/genres/christian|/genres/adventure|/genres/science-fiction-fantasy|/genres/fantasy|/genres/religion|/genres/fantasy|/genres/magic|/genres/literature,dir01/11127.The_Chronicles_of_Narnia.html,286677,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
4.38,10902,0060256656,good_reads:book,https://www.goodreads.com/author/show/435477.Shel_Silverstein,1964,/genres/childrens|/genres/young-adult|/genres/childrens|/genres/picture-books|/genres/fantasy|/genres/inspirational|/genres/classics|/genres/academic|/genres/school|/genres/philosophy|/genres/childrens|/genres/juvenile|/genres/short-stories,dir01/370493.The_Giving_Tree.html,502891,The Giving Tree
3.79,20670,0452284244,good_reads:book,https://www.goodreads.com/author/show/3706.George_Orwell,1945,/genres/classics|/genres/fiction|/genres/science-fiction|/genres/dystopia|/genres/literature|/genres/fantasy|/genres/academic|/genres/school|/genres/politics|/genres/science-fiction|/genres/academic|/genres/read-for-school|/genres/novels,dir01/7613.Animal_Farm.html,1364879,Animal Farm
4.18,12302,0345391802,good_reads:book,https://www.goodreads.com/author/show/4.Douglas_Adams,1979,/genres/science-fiction|/genres/humor|/genres/fantasy|/genres/classics|/genres/humor|/genres/comedy|/genres/science-fiction-fantasy|/genres/humor|/genres/funny,dir01/11.The_Hitchhiker_s_Guide_to_the_Galaxy.html,724713,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
